,iModulon,Gene
0,0,EQU24_RS00110
1,0,EQU24_RS00165
2,0,EQU24_RS00390
3,0,EQU24_RS00450
4,0,EQU24_RS00455
5,0,EQU24_RS00495
6,0,EQU24_RS00600
7,0,EQU24_RS00605
8,0,EQU24_RS00620
9,0,EQU24_RS00660
10,0,EQU24_RS00790
11,0,EQU24_RS00915
12,0,EQU24_RS01075
13,0,EQU24_RS01110
14,0,EQU24_RS01150
15,0,EQU24_RS01420
16,0,EQU24_RS01885
17,0,EQU24_RS02170
18,0,EQU24_RS02195
19,0,EQU24_RS02505
20,0,EQU24_RS02510
21,0,EQU24_RS02535
22,0,EQU24_RS02730
23,0,EQU24_RS03010
24,0,EQU24_RS03175
25,0,EQU24_RS03555
26,0,EQU24_RS03760
27,0,EQU24_RS03860
28,0,EQU24_RS03875
29,0,EQU24_RS03880
30,0,EQU24_RS04125
31,0,EQU24_RS04290
32,0,EQU24_RS04305
33,0,EQU24_RS04490
34,0,EQU24_RS04530
35,0,EQU24_RS04865
36,0,EQU24_RS04950
37,0,EQU24_RS04960
38,0,EQU24_RS05540
39,0,EQU24_RS05625
40,0,EQU24_RS05645
41,0,EQU24_RS06060
42,0,EQU24_RS06205
43,0,EQU24_RS06210
44,0,EQU24_RS06215
45,0,EQU24_RS06400
46,0,EQU24_RS07915
47,0,EQU24_RS07995
48,0,EQU24_RS08030
49,0,EQU24_RS08935
50,0,EQU24_RS09050
51,0,EQU24_RS09225
52,0,EQU24_RS09250
53,0,EQU24_RS09295
54,0,EQU24_RS09660
55,0,EQU24_RS09895
56,0,EQU24_RS09905
57,0,EQU24_RS10030
58,0,EQU24_RS10585
59,0,EQU24_RS10695
60,0,EQU24_RS11925
61,0,EQU24_RS11930
62,0,EQU24_RS12140
63,0,EQU24_RS12435
64,0,EQU24_RS12525
65,0,EQU24_RS12945
66,0,EQU24_RS13015
67,0,EQU24_RS13240
68,0,EQU24_RS13270
69,0,EQU24_RS13340
70,0,EQU24_RS13665
71,0,EQU24_RS13910
72,0,EQU24_RS14775
73,0,EQU24_RS15035
74,0,EQU24_RS15185
75,0,EQU24_RS15965
76,0,EQU24_RS15990
77,0,EQU24_RS16035
78,0,EQU24_RS16160
79,0,EQU24_RS16260
80,0,EQU24_RS16370
81,0,EQU24_RS17220
82,0,EQU24_RS17235
83,0,EQU24_RS17470
84,0,EQU24_RS17655
85,0,EQU24_RS17660
86,0,EQU24_RS17680
87,0,EQU24_RS17725
88,0,EQU24_RS18190
89,0,EQU24_RS18355
90,0,EQU24_RS18400
91,0,EQU24_RS18430
92,0,EQU24_RS18680
93,0,EQU24_RS19110
94,0,EQU24_RS19115
95,0,EQU24_RS19120
96,0,EQU24_RS19125
97,0,EQU24_RS19135
98,0,EQU24_RS19290
99,0,EQU24_RS19635
100,0,EQU24_RS19690
101,0,EQU24_RS19745
102,0,EQU24_RS19750
103,0,EQU24_RS19755
104,0,EQU24_RS20610
105,0,EQU24_RS20705
106,0,EQU24_RS20900
107,0,EQU24_RS21260
108,0,EQU24_RS21815
109,0,EQU24_RS22125
110,0,EQU24_RS22130
111,1,EQU24_RS00625
112,1,EQU24_RS00645
113,1,EQU24_RS03550
114,1,EQU24_RS05645
115,1,EQU24_RS05725
116,1,EQU24_RS08845
117,1,EQU24_RS09050
118,1,EQU24_RS09300
119,1,EQU24_RS09560
120,1,EQU24_RS09835
121,1,EQU24_RS10945
122,1,EQU24_RS12090
123,1,EQU24_RS12825
124,1,EQU24_RS13885
125,1,EQU24_RS15095
126,1,EQU24_RS15570
127,1,EQU24_RS17080
128,1,EQU24_RS18555
129,1,EQU24_RS19665
130,1,EQU24_RS19925
131,1,EQU24_RS20040
132,1,EQU24_RS20615
133,1,EQU24_RS20700
134,2,EQU24_RS00305
135,2,EQU24_RS00310
136,2,EQU24_RS01305
137,2,EQU24_RS03035
138,2,EQU24_RS03040
139,2,EQU24_RS04025
140,2,EQU24_RS06295
141,2,EQU24_RS06305
142,2,EQU24_RS06665
143,2,EQU24_RS06670
144,2,EQU24_RS06675
145,2,EQU24_RS06680
146,2,EQU24_RS06685
147,2,EQU24_RS06690
148,2,EQU24_RS06695
149,2,EQU24_RS08505
150,2,EQU24_RS08705
151,2,EQU24_RS08710
152,2,EQU24_RS09450
153,2,EQU24_RS09455
154,2,EQU24_RS10145
155,2,EQU24_RS10230
156,2,EQU24_RS10235
157,2,EQU24_RS10240
158,2,EQU24_RS10245
159,2,EQU24_RS10255
160,2,EQU24_RS11875
161,2,EQU24_RS13070
162,2,EQU24_RS13075
163,2,EQU24_RS13080
164,2,EQU24_RS13145
165,2,EQU24_RS13150
166,2,EQU24_RS14140
167,2,EQU24_RS14240
168,2,EQU24_RS14245
169,2,EQU24_RS14250
170,2,EQU24_RS17065
171,2,EQU24_RS17270
172,2,EQU24_RS20750
173,2,EQU24_RS20755
174,2,EQU24_RS20950
175,2,EQU24_RS21685
176,2,EQU24_RS21945
177,2,EQU24_RS21950
178,3,EQU24_RS12140
179,4,EQU24_RS18585
180,4,EQU24_RS20510
181,4,EQU24_RS20765
182,5,EQU24_RS00075
183,5,EQU24_RS00180
184,5,EQU24_RS00190
185,5,EQU24_RS01120
186,5,EQU24_RS01165
187,5,EQU24_RS01175
188,5,EQU24_RS01540
189,5,EQU24_RS01825
190,5,EQU24_RS02345
191,5,EQU24_RS03455
192,5,EQU24_RS05350
193,5,EQU24_RS05390
194,5,EQU24_RS05435
195,5,EQU24_RS05760
196,5,EQU24_RS06145
197,5,EQU24_RS07125
198,5,EQU24_RS07500
199,5,EQU24_RS08205
200,5,EQU24_RS08470
201,5,EQU24_RS08490
202,5,EQU24_RS09095
203,5,EQU24_RS09155
204,5,EQU24_RS09570
205,5,EQU24_RS10500
206,5,EQU24_RS10605
207,5,EQU24_RS10640
208,5,EQU24_RS10685
209,5,EQU24_RS10940
210,5,EQU24_RS11890
211,5,EQU24_RS11985
212,5,EQU24_RS12085
213,5,EQU24_RS12125
214,5,EQU24_RS12130
215,5,EQU24_RS13015
216,5,EQU24_RS13500
217,5,EQU24_RS13975
218,5,EQU24_RS14485
219,5,EQU24_RS14500
220,5,EQU24_RS14560
221,5,EQU24_RS14655
222,5,EQU24_RS14755
223,5,EQU24_RS14765
224,5,EQU24_RS15680
225,5,EQU24_RS16060
226,5,EQU24_RS16380
227,5,EQU24_RS16550
228,5,EQU24_RS16555
229,5,EQU24_RS17080
