k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,0,,,Uncharacterized,111,0.010961356671691957,,,10
1,1,,,Uncharacterized,23,0.0069859176093948205,,,10
2,2,,,Uncharacterized,44,0.020010486344309464,,,10
3,SG_1,,,Uncharacterized,1,0.0036375243417664516,,,10
4,4,,,Uncharacterized,3,0.004384143211815794,,,10
5,5,,,Uncharacterized,62,0.04022216788927968,,,10
6,6,,,Uncharacterized,20,0.011649487455211993,,,10
7,7,,,Uncharacterized,5,0.004449577715936237,,,10
8,8,,,Uncharacterized,6,0.021517533786189036,,,10
9,9,,,Uncharacterized,16,0.00932985896076255,,,10
10,10,,,Uncharacterized,85,0.02881685370050313,,,10
11,11,,,Uncharacterized,21,0.007132035708861784,,,10
12,SG_2,,,Uncharacterized,1,0.006520545520179777,,,10
13,13,,,Uncharacterized,10,0.004933933425150139,,,10
14,14,,,Uncharacterized,50,0.044465948801016064,,,10
15,15,,,Uncharacterized,99,0.005425776882749256,,,10
16,16,,,Uncharacterized,77,0.031248045867767305,,,10
17,17,,,Uncharacterized,68,0.0368586615386739,,,10
18,18,,,Uncharacterized,74,0.009663693847446586,,,10
19,19,,,Uncharacterized,151,0.022517798802124234,,,10
20,20,,,Uncharacterized,11,0.006886414590084211,,,10
21,21,,,Uncharacterized,15,0.06165190045895397,,,10
22,22,,,Uncharacterized,12,0.04463699968196344,,,10
23,23,,,Uncharacterized,248,0.006660383694722993,,,10
24,24,,,Uncharacterized,12,0.012455505156449886,,,10
25,25,,,Uncharacterized,10,0.002376863277836816,,,10
26,26,,,Uncharacterized,5,0.0005652098293728036,,,10
27,27,,,Uncharacterized,9,0.04606448091557369,,,10
28,28,,,Uncharacterized,12,0.006137576269706457,,,10
29,29,,,Uncharacterized,213,0.00778276338826156,,,10
30,30,,,Uncharacterized,31,0.013434751514610488,,,10
31,31,,,Uncharacterized,25,0.061955044210988075,,,10
32,32,,,Uncharacterized,50,0.036583812844265706,,,10
33,33,,,Uncharacterized,232,0.007360081243540262,,,10
34,SG_3,,,Uncharacterized,1,0.003764338040679105,,,10
35,35,,,Uncharacterized,10,0.005343614628242177,,,10
36,36,,,Uncharacterized,26,0.06900293360178766,,,10
37,SG_4,,,Uncharacterized,1,0.0040797017898257515,,,10
38,SG_5,,,Uncharacterized,2,0.005794225368448536,,,10
39,39,,,Uncharacterized,221,0.052554962520903414,,,10
40,SG_6,,,Uncharacterized,1,0.0053583907895770055,,,10
41,41,,,Uncharacterized,291,0.06286272765664114,,,10
42,42,,,Uncharacterized,17,0.002914496661276522,,,10
43,43,,,Uncharacterized,92,0.023812946684541814,,,10
44,SG_7,,,Uncharacterized,1,0.003211010085154342,,,10
45,45,,,Uncharacterized,17,0.01873627728348448,,,10
46,46,,,Uncharacterized,9,0.0037743782035813966,,,10
47,SG_8,,,Uncharacterized,1,0.002187440106686589,,,10
48,48,,,Uncharacterized,5,0.006576527995625359,,,10
49,49,,,Uncharacterized,39,0.0015380404019664784,,,10
50,SG_9,,,Uncharacterized,1,0.006470076731782903,,,10
51,51,,,Uncharacterized,155,0.0022191179071592293,,,10
52,52,,,Uncharacterized,71,0.0012772257895811157,,,10
