k,name,in_iM,gene_weight,regulator,function,category
15,15,True,-0.0405800232225011,,,
23,23,False,-0.0246515845117209,,,
10,10,False,-0.0198573651297889,,,
33,33,False,-0.0157496627353309,,,
1,1,False,-0.0155114547727917,,,
0,0,False,-0.0151481406934176,,,
7,7,False,0.0141501005851014,,,
22,22,False,0.0134696215959959,,,
34,SG_3,False,-0.0128634596107601,,,
39,39,False,-0.0124238260683562,,,
2,2,False,0.0120660189456872,,,
18,18,False,-0.0118438356144755,,,
40,SG_6,False,-0.0117027532589949,,,
47,SG_8,False,-0.0109080794870683,,,
26,26,False,0.0103543436772482,,,
50,SG_9,False,-0.0099299887104013,,,
49,49,False,-0.0098745347476348,,,
31,31,False,-0.0096944275996462,,,
17,17,False,0.0096690814000566,,,
6,6,False,0.0094868235777648,,,
9,9,False,0.0094583661068123,,,
44,SG_7,False,-0.0080881561995935,,,
24,24,False,0.0080047236223005,,,
13,13,False,0.0073731510079688,,,
20,20,False,-0.0073194130077879,,,
37,SG_4,False,0.0072160506894652,,,
45,45,False,-0.0064471916044183,,,
38,SG_5,False,0.0054843295264612,,,
19,19,False,-0.0053488643260632,,,
5,5,False,0.0051367278026885,,,
4,4,False,-0.0051240832229105,,,
12,SG_2,False,0.0050670607719142,,,
32,32,False,-0.0050545232814292,,,
28,28,False,-0.0046096274151657,,,
36,36,False,-0.0045343076571438,,,
51,51,False,0.0041197347048249,,,
46,46,False,-0.0040030131964093,,,
42,42,False,-0.0039957899802033,,,
27,27,False,-0.003221660621725,,,
29,29,False,0.0031484827421215,,,
11,11,False,0.0031472090184979,,,
30,30,False,-0.0030598585151108,,,
3,SG_1,False,0.0030363766175321,,,
8,8,False,-0.0030253470992263,,,
35,35,False,-0.0026810939022302,,,
43,43,False,-0.0019921896107233,,,
14,14,False,0.0013201823564401,,,
16,16,False,-0.0010513854102111,,,
41,41,False,0.0010485777939145,,,
52,52,False,0.0006804125377878,,,
48,48,False,-0.0006638022984642,,,
25,25,False,-0.0005088196537868,,,
21,21,False,0.0002123424241677,,,
