,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,-1.6248576558316094e-16,0.2054292064140797,12.0,0.0,-0.2536995354753584,1.0,-0.4186019493155903,22.0,-0.1686226151567496,23.0,0.0718541982483307,24.0,0.2483463417272728,25.0,0.1479718240136547,26.0,0.2730667241449138,27.0,-0.0655083467478165,28.0,0.0496772150203792,29.0,0.1443626299467686,30.0,-0.0637805573581786,31.0,0.0349340709523717
1,5G__lowO2_fast_growth,-0.2091553075790459,0.21270844996810154,12.0,2.0,-0.8118166026415237,3.0,-0.2065076925625213,17.0,-0.3310120611175229,18.0,-0.0501638088520195,19.0,-0.0702521261395716,20.0,-0.0129427471021674,21.0,-0.1144945132855088,32.0,-0.221060481889797,33.0,-0.1933911263218757,34.0,-0.2861925987688378,35.0,-0.104646660976468,36.0,-0.1073832712907369
2,5G__lowCH4,-0.8227321136421474,0.1363776020247743,8.0,4.0,-0.8875593198308982,5.0,-0.8783614441167868,6.0,-0.8351281093853737,7.0,-0.9450518160071466,8.0,-0.5967236817192845,9.0,-0.6217292118104663,10.0,-0.936334484116582,11.0,-0.880968842150641,,,,,,,,
3,5G__MeOH,-0.7843878335294961,0.14658478704056935,7.0,12.0,-0.7649106624163489,13.0,-0.7437510964919287,14.0,-0.6559505274073807,15.0,-1.0057978979884723,16.0,-0.97245760810908,37.0,-0.7021933564862248,38.0,-0.6456536858070381,,,,,,,,,,
4,5G__NoCu,-0.6036871392222217,0.3205374752238093,3.0,39.0,-0.9357708025800378,46.0,-0.579188952476577,47.0,-0.2961016626100505,,,,,,,,,,,,,,,,,,
5,5G__medCu,-0.6441496938849698,0.046807831471745956,7.0,40.0,-0.6244061284237068,50.0,-0.6713462563566521,51.0,-0.5930688771745096,52.0,-0.726182984041464,53.0,-0.636277520388937,60.0,-0.6616668400160419,61.0,-0.5960992507934773,,,,,,,,,,
6,5G__highCu,-0.4681778654789005,0.27673333975607833,5.0,41.0,-0.5831364706833764,42.0,-0.5204307027451378,43.0,-0.0098452246369298,44.0,-0.7514609023527079,45.0,-0.4760160269763505,,,,,,,,,,,,,,
7,5G__lowCu,-0.7344510480250406,0.18142287527551204,8.0,48.0,-0.8497247645411994,49.0,-0.8130966058818601,54.0,-0.5069998022873925,55.0,-0.7764508638620917,56.0,-0.8269272025459813,57.0,-0.7565679903436111,58.0,-0.4075758821386852,59.0,-0.9382652725995032,,,,,,,,
8,5G__highO2_slow_growth,-0.11318596989015343,0.4366138918912329,4.0,62.0,0.2084938874633621,63.0,0.0908571293874169,64.0,0.0038151856654096,65.0,-0.7559100820768023,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,-0.5636458170426155,0.10657377425136319,4.0,66.0,-0.4743358114666094,67.0,-0.4684532521005176,68.0,-0.6586726467893156,69.0,-0.6531215578140195,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-0.8106631127747028,0.12498624089459855,2.0,70.0,-0.8990417312662888,71.0,-0.7222844942831168,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-0.24378370165195667,0.461454291000354,5.0,72.0,-1.050715820353027,78.0,-0.2026735782490405,79.0,-0.0173384137746088,82.0,-0.0071837117349353,83.0,0.0589930158518283,,,,,,,,,,,,,,
12,5G__NoLanthanum,0.09761306470949227,0.24427258968828322,5.0,73.0,-0.2475188833012804,80.0,0.1154671872052528,81.0,0.0350785201742311,84.0,0.1522442521728058,85.0,0.4327942472964521,,,,,,,,,,,,,,
13,5G__aa3_KO,-1.14571441105994,0.2226277651202021,2.0,74.0,-1.3031360134568408,75.0,-0.9882928086630391,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-0.2220873280662321,0.09100986194257486,2.0,76.0,-0.2864410186006783,77.0,-0.1577336375317859,,,,,,,,,,,,,,,,,,,,
