,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,-3.3306690738754696e-16,0.7528788332353495,12.0,0.0,-1.162797961187198,1.0,-1.6739092181453932,22.0,0.1039930336328709,23.0,-0.4129512635170587,24.0,0.5487511836317495,25.0,0.4112088402731838,26.0,0.4922883528946083,27.0,0.4027756413954972,28.0,0.322852708143322,29.0,-0.2951277820127027,30.0,0.497168326675897,31.0,0.7657481382152196
1,5G__lowO2_fast_growth,0.8039820955552307,0.714132611450662,12.0,2.0,0.1184115901650908,3.0,0.1818209825538034,17.0,0.8608081603275219,18.0,1.0004242131339809,19.0,0.8353233697614157,20.0,1.6413183908137094,21.0,1.1471026751036555,32.0,0.6759168289329884,33.0,1.8416170521755724,34.0,1.2057176930071851,35.0,-0.8129909701892987,36.0,0.9523151608771434
2,5G__lowCH4,-0.4975643118950358,0.3285745325494442,8.0,4.0,-0.3081962797002818,5.0,-0.777818030567224,6.0,-0.3633025916663717,7.0,0.0314678919099868,8.0,-0.7851452268957346,9.0,-0.759732784915183,10.0,-0.8185169599540878,11.0,-0.19927051337139,,,,,,,,
3,5G__MeOH,1.9673558255965238,1.3545183016112854,7.0,12.0,2.1455593357291165,13.0,1.9032403394553412,14.0,0.8824479547913923,15.0,0.3328904743657135,16.0,1.0391136160693473,37.0,3.832628533350896,38.0,3.6356105254138593,,,,,,,,,,
4,5G__NoCu,-2.170761912562055,0.8032050026768027,3.0,39.0,-2.821048312846033,46.0,-1.2729198609026895,47.0,-2.418317563937443,,,,,,,,,,,,,,,,,,
5,5G__medCu,-2.1230910544247945,0.6349467489792667,7.0,40.0,-1.4562956404285825,50.0,-2.668859409278418,51.0,-2.7500231650026024,52.0,-2.930428879464998,53.0,-1.8433432125328983,60.0,-1.5080787427296902,61.0,-1.704608331536372,,,,,,,,,,
6,5G__highCu,-1.7850943408430233,0.9561099331944566,5.0,41.0,-2.358087949397368,42.0,-2.1486163917377192,43.0,-0.7275646241786666,44.0,-0.8281477936469576,45.0,-2.863054945254405,,,,,,,,,,,,,,
7,5G__lowCu,-2.5390074040921036,0.6496980226470861,8.0,48.0,-3.554464299528894,49.0,-3.210517740994945,54.0,-1.8115636320636677,55.0,-1.978400777387086,56.0,-2.0286649629928672,57.0,-2.636939368092502,58.0,-2.122027628828492,59.0,-2.9694808228483733,,,,,,,,
8,5G__highO2_slow_growth,0.22581278030648838,1.4850597088681774,4.0,62.0,-0.4151041501611301,63.0,-1.5704578242758165,64.0,1.511125658898044,65.0,1.3776874367648562,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,1.5080727901102131,0.66108993458468,4.0,66.0,0.6073172048116188,67.0,1.6787390893633438,68.0,1.553651541462981,69.0,2.1925833248029085,,,,,,,,,,,,,,,,
10,5G__LanzaTech,-2.691128415354238,0.7813392630516142,2.0,70.0,-2.1386381240431422,71.0,-3.2436187066653344,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,-5.629571115862293,2.9335757579007735,5.0,72.0,-10.744987389038467,78.0,-4.792355457259105,79.0,-3.8032168750423576,82.0,-5.182656295206075,83.0,-3.624639562765464,,,,,,,,,,,,,,
12,5G__NoLanthanum,-9.088551420071374,12.779406324038243,5.0,73.0,-31.94815295698044,80.0,-3.198392828693002,81.0,-3.47800750872691,84.0,-3.349701961531528,85.0,-3.4685018444249924,,,,,,,,,,,,,,
13,5G__aa3_KO,1.6010817664308936,1.1166220937138773,2.0,74.0,2.390652820918697,75.0,0.8115107119430905,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,-0.3105260555388838,0.6323449187640175,2.0,76.0,0.1366093245680095,77.0,-0.7576614356457771,,,,,,,,,,,,,,,,,,,,
