k,name,regulator_readable,function,category,n_genes,exp_var,precision,recall,category_num
0,0,,,Uncharacterized,111,0.010961356671691735,,,10
1,1,,,Uncharacterized,23,0.0069859176093943764,,,10
2,2,,,Uncharacterized,44,0.020010486344309464,,,10
3,SG_1,,,Uncharacterized,1,0.0036375243417661185,,,10
4,4,,,Uncharacterized,3,0.004384143211815461,,,10
5,5,,,Uncharacterized,62,0.04022216788927968,,,10
6,6,,,Uncharacterized,20,0.011649487455211771,,,10
7,7,,,Uncharacterized,5,0.004449577715935682,,,10
8,8,,,Uncharacterized,6,0.02151753378618848,,,10
9,9,,,Uncharacterized,16,0.009329858960762216,,,10
10,10,,,Uncharacterized,85,0.02881685370050291,,,10
11,11,,,Uncharacterized,21,0.0071320357088612285,,,10
12,SG_2,,,Uncharacterized,1,0.006520545520179555,,,10
13,13,,,Uncharacterized,10,0.004933933425149695,,,10
14,14,,,Uncharacterized,50,0.04446594880101562,,,10
15,15,,,Uncharacterized,99,0.005425776882749034,,,10
16,16,,,Uncharacterized,77,0.03124804586776675,,,10
17,17,,,Uncharacterized,68,0.036858661538673676,,,10
18,18,,,Uncharacterized,74,0.009663693847446364,,,10
19,19,,,Uncharacterized,151,0.02251779880212401,,,10
20,20,,,Uncharacterized,11,0.006886414590083989,,,10
21,21,,,Uncharacterized,15,0.06165190045895319,,,10
22,22,,,Uncharacterized,12,0.04463699968196322,,,10
23,23,,,Uncharacterized,248,0.006660383694722771,,,10
24,24,,,Uncharacterized,12,0.012455505156449886,,,10
25,25,,,Uncharacterized,10,0.002376863277836594,,,10
26,26,,,Uncharacterized,5,0.0005652098293728036,,,10
27,27,,,Uncharacterized,9,0.04606448091557325,,,10
28,28,,,Uncharacterized,12,0.006137576269706235,,,10
29,29,,,Uncharacterized,213,0.007782763388261227,,,10
30,30,,,Uncharacterized,31,0.013434751514610266,,,10
31,31,,,Uncharacterized,25,0.06195504421098774,,,10
32,32,,,Uncharacterized,50,0.036583812844265484,,,10
33,33,,,Uncharacterized,232,0.00736008124354004,,,10
34,SG_3,,,Uncharacterized,1,0.003764338040679105,,,10
35,35,,,Uncharacterized,10,0.005343614628242399,,,10
36,36,,,Uncharacterized,26,0.06900293360178733,,,10
37,SG_4,,,Uncharacterized,1,0.004079701789825418,,,10
38,SG_5,,,Uncharacterized,2,0.005794225368448314,,,10
39,39,,,Uncharacterized,221,0.052554962520903414,,,10
40,SG_6,,,Uncharacterized,1,0.0053583907895766725,,,10
41,41,,,Uncharacterized,291,0.06286272765664125,,,10
42,42,,,Uncharacterized,17,0.002914496661276189,,,10
43,43,,,Uncharacterized,92,0.02381294668454159,,,10
44,SG_7,,,Uncharacterized,1,0.003211010085153898,,,10
45,45,,,Uncharacterized,17,0.01873627728348415,,,10
46,46,,,Uncharacterized,9,0.0037743782035811746,,,10
47,SG_8,,,Uncharacterized,1,0.002187440106686256,,,10
48,48,,,Uncharacterized,5,0.0065765279956249145,,,10
49,49,,,Uncharacterized,39,0.0015380404019661453,,,10
50,SG_9,,,Uncharacterized,1,0.006470076731782681,,,10
51,51,,,Uncharacterized,155,0.0022191179071592293,,,10
52,52,,,Uncharacterized,71,0.0012772257895808936,,,10
