,exp_theme,exp_condition,sample_og_name,shortd,longd,carbon_source,oxygen_level,nitrate_level,copper_level,lanthanum_level,growth_rate,growth_mode,include?,notes,cluster_id,project,condition,reference_condition,xorder,full_condition_name,replicate,sample,n_replicates
5GB1_FM03_TR1_QC_tpm,uMax,uMax,5GB1_FM03_TR1_QC,uMax_QC,"Fermentor run 3, uMax though close to O2 limited, QC",2,1,0,3,0,2,0,1,,1,5G,uMax,uMax,uMax,5G_uMax,1.0,5G_uMax:1,12.0
5GB1_FM03_TR2_QC_tpm,uMax,uMax,5GB1_FM03_TR2_QC,uMax_QC,"Fermentor run 3, uMax though close to O2 limited, QC",2,1,0,3,0,2,0,1,,3,5G,uMax,uMax,uMax,5G_uMax,2.0,5G_uMax:2,12.0
5GB1_FM11_TR1_QC_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM11_TR1_QC,lowO2_QC,"Fermentor run 11, O2 limited, QC",2,0,0,3,0,1,0,1,,18,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,1.0,5G_lowO2_fast_growth:1,12.0
5GB1_FM11_TR2_QC_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM11_TR2_QC,lowO2_QC,"Fermentor run 11, O2 limited, QC",2,0,0,3,0,1,0,1,,18,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,2.0,5G_lowO2_fast_growth:2,12.0
5GB1_FM12_TR1_tpm,lowCH4,lowCH4,5GB1_FM12_TR1,lowCH4,"Fermentor run 12, methane limited",1,1,0,3,0,1,0,1,,17,5G,lowCH4,uMax,lowCH4,5G_lowCH4,1.0,5G_lowCH4:1,8.0
5GB1_FM12_TR1_QC_tpm,lowCH4,lowCH4,5GB1_FM12_TR1_QC,lowCH4_QC,"Fermentor run 12, methane limited, QC",1,1,0,3,0,1,0,1,,17,5G,lowCH4,uMax,lowCH4,5G_lowCH4,2.0,5G_lowCH4:2,8.0
5GB1_FM12_TR2_tpm,lowCH4,lowCH4,5GB1_FM12_TR2,lowCH4,"Fermentor run 12, methane limited",1,1,0,3,0,1,0,1,,17,5G,lowCH4,uMax,lowCH4,5G_lowCH4,3.0,5G_lowCH4:3,8.0
5GB1_FM12_TR2_QC_tpm,lowCH4,lowCH4,5GB1_FM12_TR2_QC,lowCH4_QC,"Fermentor run 12, methane limited, QC",1,1,0,3,0,1,0,1,,17,5G,lowCH4,uMax,lowCH4,5G_lowCH4,4.0,5G_lowCH4:4,8.0
5GB1_FM14_TR1_tpm,lowCH4,lowCH4,5GB1_FM14_TR1,lowCH4,"Fermentor run 14, methane limited",1,1,0,3,0,1,0,1,,17,5G,lowCH4,uMax,lowCH4,5G_lowCH4,5.0,5G_lowCH4:5,8.0
5GB1_FM14_TR1_QC_tpm,lowCH4,lowCH4,5GB1_FM14_TR1_QC,lowCH4_QC,"Fermentor run 14, methane limited, QC",1,1,0,3,0,1,0,1,,17,5G,lowCH4,uMax,lowCH4,5G_lowCH4,6.0,5G_lowCH4:6,8.0
5GB1_FM14_TR2_tpm,lowCH4,lowCH4,5GB1_FM14_TR2,lowCH4,"Fermentor run 14, methane limited",1,1,0,3,0,1,0,1,,17,5G,lowCH4,uMax,lowCH4,5G_lowCH4,7.0,5G_lowCH4:7,8.0
5GB1_FM14_TR2_QC_tpm,lowCH4,lowCH4,5GB1_FM14_TR2_QC,lowCH4_QC,"Fermentor run 14, methane limited, QC",1,1,0,3,0,1,0,1,,17,5G,lowCH4,uMax,lowCH4,5G_lowCH4,8.0,5G_lowCH4:8,8.0
5GB1_FM18_TR1_QC_tpm,MeOH,MeOH,5GB1_FM18_TR1_QC,MeOH_QC,"Fermentor run 18, methanol",0,1,0,3,0,2,0,0,why ex?,16,5G,MeOH,uMax,MeOH,5G_MeOH,1.0,5G_MeOH:1,7.0
5GB1_FM18_TR2_tpm,MeOH,MeOH,5GB1_FM18_TR2,MeOH,"Fermentor run 18, methanol",0,1,0,3,0,2,0,1,,16,5G,MeOH,uMax,MeOH,5G_MeOH,2.0,5G_MeOH:2,7.0
5GB1_FM18_TR2_QC_tpm,MeOH,MeOH,5GB1_FM18_TR2_QC,MeOH_QC,"Fermentor run 18, methanol",0,1,0,3,0,2,0,1,,16,5G,MeOH,uMax,MeOH,5G_MeOH,3.0,5G_MeOH:3,7.0
5GB1_FM18_TR3_tpm,MeOH,MeOH,5GB1_FM18_TR3,MeOH,"Fermentor run 18, methanol",0,1,0,3,0,2,0,1,,16,5G,MeOH,uMax,MeOH,5G_MeOH,4.0,5G_MeOH:4,7.0
5GB1_FM18_TR3_QC_tpm,MeOH,MeOH,5GB1_FM18_TR3_QC,MeOH_QC,"Fermentor run 18, methanol",0,1,0,3,0,2,0,1,,16,5G,MeOH,uMax,MeOH,5G_MeOH,5.0,5G_MeOH:5,7.0
5GB1_FM19_TR1_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM19_TR1,lowO2,"Fermentor run 19, O2 limited",2,0,0,3,0,1,0,0,why ex?,9,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,3.0,5G_lowO2_fast_growth:3,12.0
5GB1_FM19_TR1_QC_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM19_TR1_QC,lowO2_QC,"Fermentor run 19, O2 limited, QC",2,0,0,3,0,1,0,1,,11,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,4.0,5G_lowO2_fast_growth:4,12.0
5GB1_FM19_TR1_UW_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM19_TR1_UW,lowO2,"Fermentor run 19, O2 limited",2,0,0,3,0,1,0,1,,11,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,5.0,5G_lowO2_fast_growth:5,12.0
5GB1_FM19_TR3_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM19_TR3,lowO2,"Fermentor run 19, O2 limited",2,0,0,3,0,1,0,1,,11,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,6.0,5G_lowO2_fast_growth:6,12.0
5GB1_FM19_TR3_QC_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM19_TR3_QC,lowO2_QC,"Fermentor run 19, O2 limited, QC",2,0,0,3,0,1,0,1,,11,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,7.0,5G_lowO2_fast_growth:7,12.0
5GB1_FM20_TR1_QC_tpm,uMax,uMax,5GB1_FM20_TR1_QC,uMax_QC,"Fermentor run 20, uMax, QC",2,1,0,3,0,2,0,1,,2,5G,uMax,uMax,uMax,5G_uMax,3.0,5G_uMax:3,12.0
5GB1_FM20_TR2_QC_tpm,uMax,uMax,5GB1_FM20_TR2_QC,uMax_QC,"Fermentor run 20, uMax",2,1,0,3,0,2,0,1,,3,5G,uMax,uMax,uMax,5G_uMax,4.0,5G_uMax:4,12.0
5GB1_FM20_TR3_tpm,uMax,uMax,5GB1_FM20_TR3,uMax,"Fermentor run 20, uMax",2,1,0,3,0,2,0,1,,9,5G,uMax,uMax,uMax,5G_uMax,5.0,5G_uMax:5,12.0
5GB1_FM20_TR3_QC_tpm,uMax,uMax,5GB1_FM20_TR3_QC,uMax_QC,"Fermentor run 20, uMax, QC",2,1,0,3,0,2,0,1,,4,5G,uMax,uMax,uMax,5G_uMax,6.0,5G_uMax:6,12.0
5GB1_FM20_TR3_UW_tpm,uMax,uMax,5GB1_FM20_TR3_UW,uMax,"Fermentor run 20, uMax",2,1,0,3,0,2,0,1,,10,5G,uMax,uMax,uMax,5G_uMax,7.0,5G_uMax:7,12.0
5GB1_FM21_TR1_tpm,uMax,uMax,5GB1_FM21_TR1,uMax,"Fermentor run 21, uMax",2,1,0,3,0,2,0,1,,10,5G,uMax,uMax,uMax,5G_uMax,8.0,5G_uMax:8,12.0
5GB1_FM21_TR1_QC_tpm,uMax,uMax,5GB1_FM21_TR1_QC,uMax_QC,"Fermentor run 21, uMax, QC",2,1,0,3,0,2,0,1,,4,5G,uMax,uMax,uMax,5G_uMax,9.0,5G_uMax:9,12.0
5GB1_FM21_TR2_tpm,uMax,uMax,5GB1_FM21_TR2,uMax,"Fermentor run 21, uMax",2,1,0,3,0,2,0,1,,9,5G,uMax,uMax,uMax,5G_uMax,10.0,5G_uMax:10,12.0
5GB1_FM21_TR2_QC_tpm,uMax,uMax,5GB1_FM21_TR2_QC,uMax_QC,"Fermentor run 21, uMax, QC",2,1,0,3,0,2,0,1,,4,5G,uMax,uMax,uMax,5G_uMax,11.0,5G_uMax:11,12.0
5GB1_FM21_TR2_UW_tpm,uMax,uMax,5GB1_FM21_TR2_UW,uMax,"Fermentor run 21, uMax",2,1,0,3,0,2,0,1,,10,5G,uMax,uMax,uMax,5G_uMax,12.0,5G_uMax:12,12.0
5GB1_FM22_TR1_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM22_TR1,lowO2,"Fermentor run 22, O2 limited",2,0,0,3,0,1,0,1,,11,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,8.0,5G_lowO2_fast_growth:8,12.0
5GB1_FM22_TR1_QC_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM22_TR1_QC,lowO2_QC,"Fermentor run 22, O2 limited, QC",2,0,0,3,0,1,0,1,,11,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,9.0,5G_lowO2_fast_growth:9,12.0
5GB1_FM22_TR3_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM22_TR3,lowO2,"Fermentor run 22, O2 limited",2,0,0,3,0,1,0,0,why ex?,9,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,10.0,5G_lowO2_fast_growth:10,12.0
5GB1_FM22_TR3_QC_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM22_TR3_QC,lowO2_QC,"Fermentor run 22, O2 limited, QC",2,0,0,3,0,1,0,1,,11,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,11.0,5G_lowO2_fast_growth:11,12.0
5GB1_FM22_TR3_UW_tpm,lowO2_fast_growth,lowO2_fast_growth,5GB1_FM22_TR3_UW,lowO2,"Fermentor run 22, O2 limited",2,0,0,3,0,1,0,1,,11,5G,lowO2_fast_growth,uMax,lowO2_fast_growth,5G_lowO2_fast_growth,12.0,5G_lowO2_fast_growth:12,12.0
5GB1_FM23_TR3_tpm,MeOH,MeOH,5GB1_FM23_TR3,MeOH,"Fermentor run 23, methanol",0,1,0,3,0,2,0,1,,16,5G,MeOH,uMax,MeOH,5G_MeOH,6.0,5G_MeOH:6,7.0
5GB1_FM23_TR3_QC_tpm,MeOH,MeOH,5GB1_FM23_TR3_QC,MeOH_QC,"Fermentor run 23, methanol",0,1,0,3,0,2,0,1,,16,5G,MeOH,uMax,MeOH,5G_MeOH,7.0,5G_MeOH:7,7.0
