,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X
0,5G__uMax,-2.0354088784794536e-16,2.6297253392960096,12.0,0.0,1.7439300174350043,1.0,0.6716971265749707,22.0,-8.233265889099851,23.0,0.8931957155771306,24.0,0.4656137172879877,25.0,1.213863079907619,26.0,1.0156387074566071,27.0,0.4885441140166093,28.0,0.552084674692711,29.0,0.2080280526330622,30.0,0.1712064182756092,31.0,0.8094642652425372
1,5G__lowO2_fast_growth,0.17177580744591192,0.5594940568197383,12.0,2.0,1.662871516105419,3.0,0.1096574975132178,17.0,-0.449632918373676,18.0,0.1389037181617187,19.0,0.3838486460143113,20.0,-0.0801120990079948,21.0,-0.2777660343882726,32.0,0.5094715534168521,33.0,0.0601980396893166,34.0,0.3252600913995778,35.0,-0.4320671531186224,36.0,0.1106768319390953
2,5G__lowCH4,0.1999694612358656,0.2943581954656841,8.0,4.0,0.2977402143223806,5.0,0.6298043071778576,6.0,0.4706351965462712,7.0,-0.1416443078879912,8.0,-0.2425470650316687,9.0,0.215631561459709,10.0,0.2985137316751607,11.0,0.0716220516252055,,,,,,,,
3,5G__MeOH,0.4177976246993663,0.6096643650366819,7.0,12.0,-0.7844858597482683,13.0,0.3271687406239796,14.0,0.7413019680600297,15.0,1.132398181109758,16.0,0.7677959922908719,37.0,0.5007895599043624,38.0,0.2396147906548307,,,,,,,,,,
4,5G__NoCu,1.1455255923910734,0.5515473225899784,3.0,39.0,0.7622561376650048,46.0,0.8966687274828591,47.0,1.7776519120253569,,,,,,,,,,,,,,,,,,
5,5G__medCu,0.9001742372794379,0.4386913583077801,7.0,40.0,1.2904430931615465,50.0,1.5047924693919572,51.0,1.0191750152497014,52.0,0.2716344355799858,53.0,0.4409286816616047,60.0,0.9775581595675498,61.0,0.7966878063437199,,,,,,,,,,
6,5G__highCu,0.3471182556819623,0.33213396718493193,5.0,41.0,0.5343057386357966,42.0,0.0397664924927718,43.0,0.4374317726251975,44.0,-0.0272798548636841,45.0,0.75136712951973,,,,,,,,,,,,,,
7,5G__lowCu,1.1533959480850542,0.3712104249977967,8.0,48.0,1.5880891814945712,49.0,0.9541480144297074,54.0,1.0099907703042688,55.0,0.8821851244334795,56.0,1.7805322647990678,57.0,0.7530113841042867,58.0,1.3382465237885903,59.0,0.9209643213264612,,,,,,,,
8,5G__highO2_slow_growth,1.719036745987694,0.31285616894863194,4.0,62.0,2.0933572414820523,63.0,1.8602104400720167,64.0,1.4422637168665162,65.0,1.4803155855301915,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,0.8594749133921616,0.32037652781480586,4.0,66.0,0.9582648615240654,67.0,0.9652860851297744,68.0,0.3924572770257588,69.0,1.121891429889048,,,,,,,,,,,,,,,,
10,5G__LanzaTech,0.6615071123792824,0.10748220819488193,2.0,70.0,0.5855057141077771,71.0,0.7375085106507877,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,2.10258644519941,0.8100000230649382,5.0,72.0,0.6850722280495061,78.0,2.4067265443036883,79.0,2.421811677784379,82.0,2.2701925693131937,83.0,2.7291292065462827,,,,,,,,,,,,,,
12,5G__NoLanthanum,2.380193401723864,0.2167898862903884,5.0,73.0,2.4063805655430164,80.0,2.362551512958756,81.0,2.1334962405773563,84.0,2.720376519756189,85.0,2.278162169784003,,,,,,,,,,,,,,
13,5G__aa3_KO,1.1727428276609677,0.13292118370993186,2.0,74.0,1.078753357296332,75.0,1.2667322980256033,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,1.4457174888429258,0.3330676481851806,2.0,76.0,1.2102030962173294,77.0,1.6812318814685223,,,,,,,,,,,,,,,,,,,,
