,EQU24_RS21470
5GB1_FM03_TR1_QC_tpm,-0.0399631676935881
5GB1_FM03_TR2_QC_tpm,-0.2994664462979126
5GB1_FM11_TR1_QC_tpm,0.178329774228108
5GB1_FM11_TR2_QC_tpm,0.1613484034540651
5GB1_FM12_TR1_tpm,-0.4581402196810504
5GB1_FM12_TR1_QC_tpm,-0.4062550964445668
5GB1_FM12_TR2_tpm,-0.3532130496898555
5GB1_FM12_TR2_QC_tpm,-0.4826798451266221
5GB1_FM14_TR1_tpm,0.1366620317837039
5GB1_FM14_TR1_QC_tpm,-0.058398556489426
5GB1_FM14_TR2_tpm,-0.1989603973217617
5GB1_FM14_TR2_QC_tpm,-0.1747520240744267
5GB1_FM18_TR1_QC_tpm,-0.5656154558563089
5GB1_FM18_TR2_tpm,-0.4293696477959372
5GB1_FM18_TR2_QC_tpm,-0.5217213178053512
5GB1_FM18_TR3_tpm,-0.4340230593754399
5GB1_FM18_TR3_QC_tpm,-0.6243655683227054
5GB1_FM19_TR1_tpm,-0.3340310542527827
5GB1_FM19_TR1_QC_tpm,0.1062955405060845
5GB1_FM19_TR1_UW_tpm,0.0343369554719439
5GB1_FM19_TR3_tpm,-0.0120572028154111
5GB1_FM19_TR3_QC_tpm,-0.0660346161020339
5GB1_FM20_TR1_QC_tpm,-0.0114593855622757
5GB1_FM20_TR2_QC_tpm,0.4298296213350907
5GB1_FM20_TR3_tpm,0.1654505436066093
5GB1_FM20_TR3_QC_tpm,0.2647759002276384
5GB1_FM20_TR3_UW_tpm,0.1774858433848294
5GB1_FM21_TR1_tpm,-0.1155660260680142
5GB1_FM21_TR1_QC_tpm,-0.3731415415437569
5GB1_FM21_TR2_tpm,0.0772388806861164
5GB1_FM21_TR2_QC_tpm,-0.2283703884375723
5GB1_FM21_TR2_UW_tpm,-0.0468138336371639
5GB1_FM22_TR1_tpm,0.0056642748133066
5GB1_FM22_TR1_QC_tpm,0.0961727092994451
5GB1_FM22_TR3_tpm,-0.3078378688789862
5GB1_FM22_TR3_QC_tpm,0.0934203732555909
5GB1_FM22_TR3_UW_tpm,0.002781885859215
5GB1_FM23_TR3_tpm,-1.0346528479282568
5GB1_FM23_TR3_QC_tpm,-0.9985777490941844
5GB1_FM34_T0_TR1_QC_tpm,0.0607367726707055
5GB1_FM34_T3_TR3_QC_tpm,-0.1266189139005367
5GB1_FM34_T4_TR3_QC_tpm,0.0253309376395654
5GB1_FM34_T5_TR2_QC_tpm,-0.2978829304955388
5GB1_FM34_T6_TR3_QC_tpm,0.173255410665031
5GB1_FM34_T7_TR3_QC_tpm,-0.0556332872915423
5GB1_FM34_T8_TR1_QC_tpm,-0.0619453640802056
5GB1_FM40_T0_TR1_QC_tpm,1.0545694945582147
5GB1_FM40_T0m_TR2_tpm,1.4860742384696095
5GB1_FM40_T10m_TR3_tpm,1.0173967478986912
5GB1_FM40_T10m_TR3_QC_tpm,0.9494517953732132
5GB1_FM40_T150m_TR1_QC_tpm,0.4886953655573665
5GB1_FM40_T150m_TR1_remake_tpm,0.6100914423008605
5GB1_FM40_T180m_TR1_tpm,-0.1547574548791348
5GB1_FM40_T180m_TR1_QC_tpm,-0.3143783292414013
5GB1_FM40_T20m_TR2_tpm,0.8865182064093426
5GB1_FM40_T20m_TR2_QC_tpm,0.6631211969912512
5GB1_FM40_T40m_TR1_tpm,0.4954011026817371
5GB1_FM40_T40m_TR1_QC_tpm,0.5888740272215136
5GB1_FM40_T60m_TR1_tpm,0.6725262844660964
5GB1_FM40_T60m_TR1_QC_tpm,0.3157514156515164
5GB1_FM40_T90m_TR2_tpm,0.1179622848613233
5GB1_FM40_T90m_TR2_QC_tpm,-0.0876810667565437
5GB1_FM69_t3_TR1_tpm,0.5779483764142954
5GB1_FM69_t3_TR1_UW_tpm,1.3109026484469082
5GB1_FM69_t4_TR1_tpm,0.6535008904191963
5GB1_FM69_t4_TR1_UW_tpm,0.6957765975434196
5GB1_FM80_t2_TR1_tpm,0.6901294519693444
5GB1_FM80_t4_TR1_tpm,0.7083831289872364
5GB1_FM81_t1_TR3_tpm,0.5344910910750285
5GB1_FM81_t2_TR3_tpm,0.5056093261144374
5GB1_LTrecycle_TR1_tpm,0.2744890579881041
5GB1_LTrecycle_TR1_QC_tpm,0.2770873670626717
5GB1_vial_wLa_TR3_tpm,0.8711915337585587
5GB1_vial_woLa_TR2_tpm,1.2866079250510891
5GB1_FM_85_TR1_tpm,-0.3362956550719111
5GB1_FM_85_TR2_tpm,-0.2727007839243875
5GB1_pA9_red_tpm,0.3029118798278807
5GB1_pA9_yellow_tpm,0.543999774659814
5GB1C-5G-La-BR1_tpm,1.0267889438607467
5GB1C-5G-La-BR2_tpm,0.9814558500139235
5GB1C-5G-N-BR1_tpm,1.236663983466853
5GB1C-5G-N-BR2_tpm,0.8577439830537443
5GB1C-JG15-La-BR1_tpm,1.2151388643651764
5GB1C-JG15-La-BR2_tpm,1.3418913430771502
5GB1C-JG15-N-BR1_tpm,0.9903914689321692
5GB1C-JG15-N-BR2_tpm,1.3697423353264666
