,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A
0,5G__uMax,-1.9984014443252818e-15,10.99258305005981,12.0,0.0,-34.612398279016745,1.0,4.646586592654353,22.0,-0.5783104962899261,23.0,1.923846606951888,24.0,3.030517795988523,25.0,5.101930510007663,26.0,3.065063164016919,27.0,3.590656743521736,28.0,3.776974240761793,29.0,3.170434606686846,30.0,3.2952014886380385,31.0,3.5894970260788903
1,5G__lowO2_fast_growth,3.557385973541802,0.9426129804781379,12.0,2.0,2.1221326812440258,3.0,2.8756617954792096,17.0,3.9716064137858,18.0,4.537135579345821,19.0,4.2968454737652175,20.0,4.286196057872133,21.0,4.071259891142315,32.0,3.523599790310892,33.0,4.385571981288979,34.0,3.732801103876042,35.0,1.555899317434504,36.0,3.329921596956684
2,5G__lowCH4,3.263271310211159,0.5740051245443937,8.0,4.0,3.4551947989599427,5.0,3.403893775863639,6.0,3.365506790001665,7.0,4.287780960413709,8.0,2.728458687338017,9.0,3.575445787483166,10.0,2.7890959240559483,11.0,2.500793757573183,,,,,,,,
3,5G__MeOH,6.258870746288644,0.8221252650248608,7.0,12.0,5.271537104177288,13.0,5.746729277583237,14.0,6.1936617054519605,15.0,6.0362697858166765,16.0,5.898187460708432,37.0,7.737480170295989,38.0,6.928229719986934,,,,,,,,,,
4,5G__NoCu,3.190602673615657,0.0708184182788323,3.0,39.0,3.2483959219800256,46.0,3.1116041163356725,47.0,3.211807982531273,,,,,,,,,,,,,,,,,,
5,5G__medCu,1.8711286248965793,0.48175077015702,7.0,40.0,1.9088285721944067,50.0,1.205035660309762,51.0,1.2469392831380928,52.0,2.270169056219342,53.0,1.9158074213571137,60.0,2.089240403367697,61.0,2.461879977689641,,,,,,,,,,
6,5G__highCu,1.9612312160626026,0.7218695293135657,5.0,41.0,2.102245472410766,42.0,1.1907547877540758,43.0,3.074236613471068,44.0,1.4794851440368246,45.0,1.9594340626402784,,,,,,,,,,,,,,
7,5G__lowCu,2.363352024602842,0.3701737503601579,8.0,48.0,2.0162042582464976,49.0,1.6825994014064218,54.0,2.704221124874502,55.0,2.773959785951128,56.0,2.4651884587943225,57.0,2.27222520040148,58.0,2.631296649190584,59.0,2.361121317957798,,,,,,,,
8,5G__highO2_slow_growth,3.2841636917591246,0.7291854039370186,4.0,62.0,4.08094738151672,63.0,3.058311320549344,64.0,3.609549582720705,65.0,2.387846482249729,,,,,,,,,,,,,,,,
9,5G__NO3_lowO2_slow_growth,3.8328089643190686,0.411999916139299,4.0,66.0,3.319924063001459,67.0,3.737144716489605,68.0,4.298116437581357,69.0,3.976050640203853,,,,,,,,,,,,,,,,
10,5G__LanzaTech,1.021576168709974,0.417759102447143,2.0,70.0,1.3169764629527545,71.0,0.7261758744671937,,,,,,,,,,,,,,,,,,,,
11,5G__WithLanthanum,7.04501849203055,1.4572520798683348,5.0,72.0,4.980647110713616,78.0,7.195999788114408,79.0,6.2711321709092775,82.0,8.376768355083879,83.0,8.400545035331575,,,,,,,,,,,,,,
12,5G__NoLanthanum,5.604900373972108,3.0020892963099453,5.0,73.0,0.4318499238346336,80.0,7.270290185333915,81.0,5.919231940157822,84.0,8.013570689863162,85.0,6.389559130671008,,,,,,,,,,,,,,
13,5G__aa3_KO,4.35375886462403,0.7909254410268024,2.0,74.0,3.794490121861017,75.0,4.9130276073870425,,,,,,,,,,,,,,,,,,,,
14,5G__crotonic_acid,4.158072361682265,0.4731251009301257,2.0,76.0,4.492622328899527,77.0,3.823522394465004,,,,,,,,,,,,,,,,,,,,
