,gene_name,start,end_coord,strand,gene_product,COG_id,cog,uniprot,operon,tu_name,ncbi_protein,gene_name_extra,specific_gos_n,specific_gos
EQU24_RS00005,dnaA,0,1317,1,chromosomal replication initiator protein DnaA,L,"Replication, recombination and repair",A0A4P9UMW3,2831,dnaA,WP_017841472.1,dnaA||dnaA,"DNA replication origin binding
sequence-specific double-stranded DNA binding
regulation of cellular macromolecule biosynthetic process
DNA-templated DNA replication
regulation of DNA replication","['DNA replication origin binding'
 'sequence-specific double-stranded DNA binding'
 'regulation of cellular macromolecule biosynthetic process'
 'DNA-templated DNA replication' 'regulation of DNA replication']"
EQU24_RS00010,,1502,2603,1,DNA polymerase III subunit beta,L,"Replication, recombination and repair",A0A4P9UIN3,2830,EQU24_RS00010,WP_017841471.1,||dnaN,"DNA strand elongation involved in DNA replication
3'-5' exonuclease activity
DNA-templated DNA replication
DNA biosynthetic process
DNA strand elongation","['DNA strand elongation involved in DNA replication'
 ""3'-5' exonuclease activity"" 'DNA-templated DNA replication'
 'DNA biosynthetic process' 'DNA strand elongation']"
EQU24_RS00015,recF,3060,4140,1,DNA replication/repair protein RecF,L,"Replication, recombination and repair",A0A4P9UIH3,2829,recF,WP_017841470.1,recF||recF,"DNA synthesis involved in DNA repair
double-strand break repair
DNA repair
single-stranded DNA binding
DNA biosynthetic process","['DNA synthesis involved in DNA repair' 'double-strand break repair'
 'DNA repair' 'single-stranded DNA binding' 'DNA biosynthetic process']"
EQU24_RS00020,gyrB,4185,6600,1,DNA topoisomerase (ATP-hydrolyzing) subunit B,L,"Replication, recombination and repair",A0A4P9UI83,2828,gyrB,WP_017841469.1,gyrB||gyrB,"ATP hydrolysis activity
ATP hydrolysis activity
transcription, DNA-templated
nucleoside-triphosphatase activity
nucleic acid-templated transcription","['ATP hydrolysis activity' 'ATP hydrolysis activity'
 'transcription, DNA-templated' 'nucleoside-triphosphatase activity'
 'nucleic acid-templated transcription']"
EQU24_RS00025,,6825,7062,1,hypothetical protein,X,No COG annotation,,2827,EQU24_RS00030 // EQU24_RS00025,,||,,[]
EQU24_RS00030,,7098,7257,1,DUF2283 domain-containing protein,S,Function unknown,,2827,EQU24_RS00030 // EQU24_RS00025,,||,,[]
EQU24_RS00035,,7350,7734,1,hypothetical protein,X,No COG annotation,A0A4P9UL31,2826,EQU24_RS00035,WP_014146528.1,||None,,[]
EQU24_RS00040,,7818,9075,1,TolC family protein,M,Cell wall/membrane/envelope biogenesis,A0A4P9UI68,2825,EQU24_RS00055 // EQU24_RS00050 // EQU24_RS00045 // EQU24_RS00040,WP_017841467.1,||None,"efflux transmembrane transporter activity
transmembrane transport",['efflux transmembrane transporter activity' 'transmembrane transport']
EQU24_RS00045,,9071,10241,1,efflux RND transporter periplasmic adaptor subunit,M,Cell wall/membrane/envelope biogenesis,A0A4P9UKH1,2825,EQU24_RS00055 // EQU24_RS00050 // EQU24_RS00045 // EQU24_RS00040,WP_017841466.1,||None,"transmembrane transporter activity
transmembrane transport
membrane",['transmembrane transporter activity' 'transmembrane transport' 'membrane']
EQU24_RS00050,,10240,13306,1,efflux RND transporter permease subunit,P,Inorganic ion transport and metabolism,A0A4P9UIC9,2825,EQU24_RS00055 // EQU24_RS00050 // EQU24_RS00045 // EQU24_RS00040,WP_017841465.1,||None,"cation transmembrane transporter activity
cation transmembrane transport
cellular oxidant detoxification
integral component of membrane
peroxidase activity","['cation transmembrane transporter activity'
 'cation transmembrane transport' 'cellular oxidant detoxification'
 'integral component of membrane' 'peroxidase activity']"
EQU24_RS00055,,13298,13604,1,DUF3240 domain-containing protein,S,Function unknown,A0A4V1IJB5,2825,EQU24_RS00055 // EQU24_RS00050 // EQU24_RS00045 // EQU24_RS00040,WP_014146532.1,||None,,[]
EQU24_RS00060,,13842,16413,1,bifunctional diguanylate cyclase/phosphodiesterase,T,Signal transduction mechanisms,A0A4P9UMX5,2824,EQU24_RS00060,WP_017841464.1,||None,"integral component of membrane
transferase activity
protein binding",['integral component of membrane' 'transferase activity' 'protein binding']
EQU24_RS00065,,17565,19176,1,DUF839 domain-containing protein,S,Function unknown,,2823,EQU24_RS00065,,||,integral component of membrane,['integral component of membrane']
EQU24_RS00070,tatA,19263,19479,1,twin-arginine translocase TatA/TatE family subunit,U,"Intracellular trafficking, secretion, and vesicular transport",A0A4P9UIP4,2822,tatB // tatA,WP_014146537.1,tatA||tatA,"amide transport
peptide transport
peptide secretion
TAT protein transport complex
integral component of plasma membrane","['amide transport' 'peptide transport' 'peptide secretion'
 'TAT protein transport complex' 'integral component of plasma membrane']"
EQU24_RS00075,tatB,19487,19799,1,twin-arginine translocase subunit TatB,U,"Intracellular trafficking, secretion, and vesicular transport",A0A4P9UII1,2822,tatB // tatA,WP_017841462.1,tatB||tatB,"peptide transport
amide transport
organic substance transport
nitrogen compound transport
protein transport by the Tat complex","['peptide transport' 'amide transport' 'organic substance transport'
 'nitrogen compound transport' 'protein transport by the Tat complex']"
EQU24_RS00080,,20389,21388,-1,hypothetical protein,O,"Post-translational modification, protein turnover, and chaperones",UPI00191BFE3D,2821,EQU24_RS00080,WP_201764866.1,||None,"iron ion binding
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
L-ascorbic acid binding
","['iron ion binding'
 'oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen'
 'L-ascorbic acid binding' '']"
EQU24_RS00085,,21633,22416,1,prolipoprotein diacylglyceryl transferase,M,Cell wall/membrane/envelope biogenesis,A0A4P9UK00,2820,thyA // EQU24_RS00085,WP_017841459.1,||lgt,"peptidyl-lysine modification
peptidyl-amino acid modification
cellular protein modification process
lipoprotein biosynthetic process
protein lipoylation","['peptidyl-lysine modification' 'peptidyl-amino acid modification'
 'cellular protein modification process'
 'lipoprotein biosynthetic process' 'protein lipoylation']"
EQU24_RS00090,thyA,22412,23246,1,thymidylate synthase,F,Nucleotide transport and metabolism,A0A4P9UL39,2820,thyA // EQU24_RS00085,WP_017841458.1,thyA||thyA,"pyrimidine deoxyribonucleoside monophosphate catabolic process
pyrimidine deoxyribonucleoside monophosphate biosynthetic process
dTTP biosynthetic process
dTMP biosynthetic process
pyrimidine deoxyribonucleotide biosynthetic process","['pyrimidine deoxyribonucleoside monophosphate catabolic process'
 'pyrimidine deoxyribonucleoside monophosphate biosynthetic process'
 'dTTP biosynthetic process' 'dTMP biosynthetic process'
 'pyrimidine deoxyribonucleotide biosynthetic process']"
EQU24_RS00095,,23251,23782,-1,hypothetical protein,X,No COG annotation,A0A4P9UI81,2819,EQU24_RS00095,WP_017841457.1,||None,hydrolase activity,['hydrolase activity']
EQU24_RS00100,,23841,24321,-1,YchJ family protein,S,Function unknown,A0A4P9UKI1,2818,crp // EQU24_RS00100,WP_017841456.1,||None,,[]
EQU24_RS00105,crp,24340,24994,-1,cAMP-activated global transcriptional regulator CRP,K,Transcription,A0A4P9UID5,2818,crp // EQU24_RS00100,WP_014146545.1,crp||crp,"negative regulation of nucleic acid-templated transcription
positive regulation of nucleic acid-templated transcription
negative regulation of transcription, DNA-templated
positive regulation of RNA biosynthetic process
transcription, DNA-templated","['negative regulation of nucleic acid-templated transcription'
 'positive regulation of nucleic acid-templated transcription'
 'negative regulation of transcription, DNA-templated'
 'positive regulation of RNA biosynthetic process'
 'transcription, DNA-templated']"
EQU24_RS00110,,25137,25554,1,OsmC family protein,O,"Post-translational modification, protein turnover, and chaperones",A0A4V1IJB6,2817,speD // EQU24_RS00110,WP_017841455.1,||None,,[]
EQU24_RS00115,speD,25560,26349,1,adenosylmethionine decarboxylase,E,Amino acid transport and metabolism,,2817,speD // EQU24_RS00110,WP_235726470.1,speD||speD,"spermidine biosynthetic process
polyamine biosynthetic process
spermidine metabolic process
polyamine metabolic process
cellular biogenic amine biosynthetic process","['spermidine biosynthetic process' 'polyamine biosynthetic process'
 'spermidine metabolic process' 'polyamine metabolic process'
 'cellular biogenic amine biosynthetic process']"
EQU24_RS00125,,29783,31106,1,autotransporter outer membrane beta-barrel domain-containing protein,S,Function unknown,UPI000A00FB62,2815,EQU24_RS00125,WP_083877750.1,||None,"palmitoyl-CoA hydrolase activity
acyl-CoA hydrolase activity
CoA hydrolase activity
carboxylic ester hydrolase activity
thiolester hydrolase activity","['palmitoyl-CoA hydrolase activity' 'acyl-CoA hydrolase activity'
 'CoA hydrolase activity' 'carboxylic ester hydrolase activity'
 'thiolester hydrolase activity']"
EQU24_RS00130,,32310,32679,-1,hypothetical protein,X,No COG annotation,A0A4P9UII7,2814,EQU24_RS00135 // EQU24_RS00130,WP_014146550.1,||None,,[]
EQU24_RS00135,,32679,33453,-1,DUF2807 domain-containing protein,S,Function unknown,A0A4P9UI98,2814,EQU24_RS00135 // EQU24_RS00130,WP_017841449.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS00140,,33495,34086,-1,OmpA family protein,M,Cell wall/membrane/envelope biogenesis,A0A4P9UK10,2813,EQU24_RS00140,WP_017841448.1,||None,"cell outer membrane
integral component of membrane",['cell outer membrane' 'integral component of membrane']
EQU24_RS00145,,34142,34445,-1,hypothetical protein,J,"Translation, ribosomal structure and biogenesis",A0A4P9UL47,2812,EQU24_RS00155 // EQU24_RS00150 // EQU24_RS00145,WP_014146553.1,||None,"response to osmotic stress
response to abiotic stimulus
response to stress
response to stimulus
biological_process","['response to osmotic stress' 'response to abiotic stimulus'
 'response to stress' 'response to stimulus' 'biological_process']"
EQU24_RS00150,,34455,35997,-1,DUF4384 domain-containing protein,M,Cell wall/membrane/envelope biogenesis,A0A4P9UI88,2812,EQU24_RS00155 // EQU24_RS00150 // EQU24_RS00145,WP_017841447.1,||None,,[]
EQU24_RS00155,,36035,36347,-1,hypothetical protein,X,No COG annotation,A0A4P9UKJ0,2812,EQU24_RS00155 // EQU24_RS00150 // EQU24_RS00145,WP_017841446.1,||None,,[]
EQU24_RS00160,,36419,36716,-1,hypothetical protein,X,No COG annotation,A0A4P9UIE4,2811,EQU24_RS00160,WP_017841445.1,||None,membrane,['membrane']
EQU24_RS00165,,36832,37129,-1,hypothetical protein,X,No COG annotation,A0A4V1IJB7,2810,EQU24_RS00165,WP_017841444.1,||None,,[]
EQU24_RS00170,,38627,39929,-1,caspase family protein,S,Function unknown,UPI0003468D5F,2809,EQU24_RS00170,WP_017841443.1,||None,"cysteine-type endopeptidase activity
proteolysis",['cysteine-type endopeptidase activity' 'proteolysis']
EQU24_RS00175,,39992,40271,-1,hypothetical protein,L,"Replication, recombination and repair",A0A4P9UIR2,2808,EQU24_RS00175,WP_017841442.1,||None,"DNA binding
transposase activity
transposition, DNA-mediated
membrane","['DNA binding' 'transposase activity' 'transposition, DNA-mediated'
 'membrane']"
EQU24_RS00180,,40588,41767,1,ISAzo13 family transposase,L,"Replication, recombination and repair",UPI00110C954A,2807,EQU24_RS00180,WP_138767046.1,||None,DNA binding,['DNA binding']
EQU24_RS00185,,42145,42478,-1,hypothetical protein,L,"Replication, recombination and repair",A0A4P9UIJ4,2806,EQU24_RS00185,WP_017841440.1,||None,"DNA binding
transposase activity
transposition, DNA-mediated","['DNA binding' 'transposase activity' 'transposition, DNA-mediated']"
EQU24_RS00190,,42656,42884,-1,hypothetical protein,X,No COG annotation,UPI00110D139D,2805,EQU24_RS00195 // EQU24_RS00190,WP_138767047.1,||None,"DNA binding
transposase activity
transposition, DNA-mediated","['DNA binding' 'transposase activity' 'transposition, DNA-mediated']"
EQU24_RS00195,,42874,43876,-1,DUF4338 domain-containing protein,L,"Replication, recombination and repair",,2805,EQU24_RS00195 // EQU24_RS00190,WP_235726418.1,||None,,[]
EQU24_RS00200,,44158,44386,1,hypothetical protein,X,No COG annotation,,2804,EQU24_RS00200,,||,"endonuclease activity
nucleic acid phosphodiester bond hydrolysis",['endonuclease activity' 'nucleic acid phosphodiester bond hydrolysis']
EQU24_RS00205,,44526,46077,-1,IS66 family transposase,L,"Replication, recombination and repair",,2803,EQU24_RS00205,WP_244310896.1,||None,,[]
EQU24_RS00210,,46105,47107,1,DUF3800 domain-containing protein,X,No COG annotation,UPI0003769B81,2802,EQU24_RS00210,WP_017841436.1,||None,,[]
EQU24_RS00215,,47306,47516,1,type II toxin-antitoxin system HicB family antitoxin,N,Cell motility,A0A4P9UI96,2801,EQU24_RS00220 // EQU24_RS00215,WP_017841435.1,||None,,[]
EQU24_RS00220,,47518,47746,1,type II toxin-antitoxin system HicA family toxin,N,Cell motility,,2801,EQU24_RS00220 // EQU24_RS00215,,||,mRNA binding,['mRNA binding']
EQU24_RS00225,,48209,48518,-1,HAD family hydrolase,G,Carbohydrate transport and metabolism,A0A4P9UIF3,2800,EQU24_RS00225,WP_017841434.1,||None,"dephosphorylation
phosphatase activity",['dephosphorylation' 'phosphatase activity']
EQU24_RS00230,,48728,48950,1,hypothetical protein,X,No COG annotation,A0A4V1IJB8,2799,EQU24_RS00235 // EQU24_RS00230,WP_014146562.1,||None,,[]
EQU24_RS00235,,48952,49252,1,type II toxin-antitoxin system RelE/ParE family toxin,X,No COG annotation,,2799,EQU24_RS00235 // EQU24_RS00230,,||,,[]
EQU24_RS00240,,49350,49572,1,hypothetical protein,X,No COG annotation,,2798,EQU24_RS00240,,||,,[]
EQU24_RS00245,,49501,50443,-1,cation transporter,P,Inorganic ion transport and metabolism,A0A4P9UIK2,2797,EQU24_RS00245,WP_017841432.1,||None,"cation transmembrane transport
cation transmembrane transporter activity
integral component of membrane","['cation transmembrane transport'
 'cation transmembrane transporter activity'
 'integral component of membrane']"
EQU24_RS00250,,50778,51069,1,hypothetical protein,X,No COG annotation,A0A4P9UIB5,2796,EQU24_RS00250,WP_017841431.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS00255,,51191,51482,1,hypothetical protein,X,No COG annotation,A0A4P9UK45,2795,EQU24_RS00255,WP_017841430.1,||None,,[]
EQU24_RS00260,,51603,51894,1,hypothetical protein,X,No COG annotation,A0A4P9UL62,2794,EQU24_RS00260,WP_017841429.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS00265,,52448,55124,-1,glucosidase,M,Cell wall/membrane/envelope biogenesis,A0A4P9UIA4,2793,EQU24_RS00265,WP_017841428.1,||None,"Glc3Man9GlcNAc2 oligosaccharide glucosidase activity
oligosaccharide metabolic process","['Glc3Man9GlcNAc2 oligosaccharide glucosidase activity'
 'oligosaccharide metabolic process']"
EQU24_RS00270,,55437,56103,-1,Crp/Fnr family transcriptional regulator,T,Signal transduction mechanisms,A0A4P9UKK8,2792,EQU24_RS00270,WP_017841427.1,||None,"regulation of transcription, DNA-templated
phosphorylation
DNA binding
kinase activity","['regulation of transcription, DNA-templated' 'phosphorylation'
 'DNA binding' 'kinase activity']"
EQU24_RS00275,,57142,57871,1,hypothetical protein,X,No COG annotation,A0A4P9UIG2,2791,EQU24_RS00280 // EQU24_RS00275,WP_017841425.1,||None,,[]
EQU24_RS00280,,57870,60009,1,adenylate/guanylate cyclase domain-containing protein,T,Signal transduction mechanisms,A0A4V1IJB9,2791,EQU24_RS00280 // EQU24_RS00275,WP_017841424.1,||None,"cyclic nucleotide biosynthetic process
adenylate cyclase activity
integral component of membrane
intracellular signal transduction","['cyclic nucleotide biosynthetic process' 'adenylate cyclase activity'
 'integral component of membrane' 'intracellular signal transduction']"
EQU24_RS00285,,60055,61690,1,protein kinase,K,Transcription,A0A4P9UN12,2790,EQU24_RS00285,WP_017841423.1,||None,"ATP binding
protein kinase activity
integral component of membrane
","['ATP binding' 'protein kinase activity' 'integral component of membrane'
 '']"
EQU24_RS00290,,61695,62178,-1,hypothetical protein,X,No COG annotation,A0A4P9UIS8,2789,EQU24_RS00290,WP_017841422.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS00295,,62264,62591,-1,hypothetical protein,X,No COG annotation,,2788,EQU24_RS00295,,||,,[]
EQU24_RS00300,,62674,67795,1,AAA family ATPase,K,Transcription,A0A4P9UIL1,2787,EQU24_RS00310 // EQU24_RS00305 // EQU24_RS00300,WP_017841420.1,||None,"peptidyl-histidine phosphorylation
ATP binding
phosphorelay signal transduction system
phosphorelay sensor kinase activity
protein binding","['peptidyl-histidine phosphorylation' 'ATP binding'
 'phosphorelay signal transduction system'
 'phosphorelay sensor kinase activity' 'protein binding']"
EQU24_RS00305,,67787,68192,1,response regulator,T,Signal transduction mechanisms,A0A4P9UIC2,2787,EQU24_RS00310 // EQU24_RS00305 // EQU24_RS00300,WP_014146573.1,||None,phosphorelay signal transduction system,['phosphorelay signal transduction system']
EQU24_RS00310,,68188,70348,1,GGDEF domain-containing response regulator,T,Signal transduction mechanisms,A0A4P9UK63,2787,EQU24_RS00310 // EQU24_RS00305 // EQU24_RS00300,WP_017841419.1,||None,"regulation of transcription, DNA-templated
phosphorelay signal transduction system","['regulation of transcription, DNA-templated'
 'phosphorelay signal transduction system']"
EQU24_RS00315,,70371,70962,-1,CPBP family intramembrane metalloprotease,S,Function unknown,A0A4P9UL70,2786,EQU24_RS00315,WP_014146575.1,||None,"CAAX-box protein processing
cysteine-type endopeptidase activity
metallopeptidase activity
integral component of membrane","['CAAX-box protein processing' 'cysteine-type endopeptidase activity'
 'metallopeptidase activity' 'integral component of membrane']"
EQU24_RS00320,,71048,71306,1,YcgL domain-containing protein,S,Function unknown,A0A4P9UIB3,2785,EQU24_RS00320,WP_014146576.1,||None,,[]
EQU24_RS00330,,71976,73314,1,flippase,S,Function unknown,UPI001AD8D761,2783,EQU24_RS00345 // EQU24_RS00340 // EQU24_RS00335 // EQU24_RS00330,WP_209005075.1,||None,integral component of membrane,['integral component of membrane']
EQU24_RS00335,,73303,74293,1,hypothetical protein,X,No COG annotation,A0A4P9UIH1,2783,EQU24_RS00345 // EQU24_RS00340 // EQU24_RS00335 // EQU24_RS00330,WP_017841417.1,||None,sulfotransferase activity,['sulfotransferase activity']
EQU24_RS00340,,74273,75077,1,hypothetical protein,X,No COG annotation,UPI00034930B0,2783,EQU24_RS00345 // EQU24_RS00340 // EQU24_RS00335 // EQU24_RS00330,WP_175421646.1,||None,sulfotransferase activity,['sulfotransferase activity']
EQU24_RS00345,,75073,75976,1,hypothetical protein,S,Function unknown,A0A4P9UN22,2783,EQU24_RS00345 // EQU24_RS00340 // EQU24_RS00335 // EQU24_RS00330,WP_017841415.1,||None,sulfotransferase activity,['sulfotransferase activity']
