,name,x,y,cog,color,link,gene_product
meta,start,0.03329857227828255,,,,,
EQU24_RS00005,dnaA,0,0.0051755255985708,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,0.0078412122661823,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,-0.0018118907411181,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,-0.0026150249854157,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,0.0083795713824599,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,-0.0161812569313392,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,-0.0058053583640756,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,0.010246514742942,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,-0.0060488382436451,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,-0.0107226744164395,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,-0.0159941818019434,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,-0.0063831902127073,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,0.001840765363119,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,0.0087829289649505,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,0.0149267125144981,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,0.0045571045121411,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,-0.0214428346926043,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,-0.000271759541295,Nucleotide transport and metabolism,#87ceeb,,thymidylate synthase
EQU24_RS00095,,23251,0.0085933206972266,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00100,,23841,0.0033228849696974,Function unknown,#0000ff,,YchJ family protein
EQU24_RS00105,crp,24340,-0.0027680063459135,Transcription,#000000,,cAMP-activated global transcriptional regulator CRP
EQU24_RS00110,,25137,0.0059097091778522,"Post-translational modification, protein turnover, and chaperones",#add8e6,,OsmC family protein
EQU24_RS00115,speD,25560,0.0048835002615173,Amino acid transport and metabolism,#ff0000,,adenosylmethionine decarboxylase
EQU24_RS00125,,29783,-0.002499675102768,Function unknown,#0000ff,,autotransporter outer membrane beta-barrel domain-containing protein
EQU24_RS00130,,32310,0.0041583963092806,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00135,,32679,0.0001494713054965,Function unknown,#0000ff,,DUF2807 domain-containing protein
EQU24_RS00140,,33495,-0.0060691144647485,Cell wall/membrane/envelope biogenesis,#c71585,,OmpA family protein
EQU24_RS00145,,34142,0.0398819101165874,"Translation, ribosomal structure and biogenesis",#daa520,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00145,hypothetical protein
EQU24_RS00150,,34455,0.0016335009380007,Cell wall/membrane/envelope biogenesis,#c71585,,DUF4384 domain-containing protein
EQU24_RS00155,,36035,0.0409673321725603,No COG annotation,#00bfbf,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00155,hypothetical protein
EQU24_RS00160,,36419,-0.0044865809089469,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00165,,36832,0.0157213103215988,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00170,,38627,-0.010670012099833,Function unknown,#0000ff,,caspase family protein
EQU24_RS00175,,39992,0.0864481208852633,"Replication, recombination and repair",#1e90ff,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00175,hypothetical protein
EQU24_RS00180,,40588,-0.0089212272881364,"Replication, recombination and repair",#1e90ff,,ISAzo13 family transposase
EQU24_RS00185,,42145,-0.0098658546620176,"Replication, recombination and repair",#1e90ff,,hypothetical protein
EQU24_RS00190,,42656,-0.0052688269537808,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00195,,42874,-0.0041790101720338,"Replication, recombination and repair",#1e90ff,,DUF4338 domain-containing protein
EQU24_RS00200,,44158,-0.0241461422024483,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00205,,44526,-0.019090664673597,"Replication, recombination and repair",#1e90ff,,IS66 family transposase
EQU24_RS00210,,46105,-0.0082583452010441,No COG annotation,#00bfbf,,DUF3800 domain-containing protein
EQU24_RS00215,,47306,-0.0055313186110094,Cell motility,#da70d6,,type II toxin-antitoxin system HicB family antitoxin
EQU24_RS00220,,47518,0.0078672368100825,Cell motility,#da70d6,,type II toxin-antitoxin system HicA family toxin
EQU24_RS00225,,48209,-0.0160330107985436,Carbohydrate transport and metabolism,#ffc0cb,,HAD family hydrolase
EQU24_RS00230,,48728,0.006042618576834,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00235,,48952,-0.0031409542194141,No COG annotation,#00bfbf,,type II toxin-antitoxin system RelE/ParE family toxin
EQU24_RS00240,,49350,-0.0374016729003424,No COG annotation,#00bfbf,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00240,hypothetical protein
EQU24_RS00245,,49501,-0.0080085646013262,Inorganic ion transport and metabolism,#8b4513,,cation transporter
EQU24_RS00250,,50778,0.0070880400734089,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00255,,51191,-0.0109389063793641,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00260,,51603,-0.0304005784093437,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00265,,52448,0.0063837324995257,Cell wall/membrane/envelope biogenesis,#c71585,,glucosidase
EQU24_RS00270,,55437,-0.0265196690077257,Signal transduction mechanisms,#f4a460,,Crp/Fnr family transcriptional regulator
EQU24_RS00275,,57142,-0.007936967885061,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00280,,57870,-0.0179402128745918,Signal transduction mechanisms,#f4a460,,adenylate/guanylate cyclase domain-containing protein
EQU24_RS00285,,60055,-0.0111034083089678,Transcription,#000000,,protein kinase
EQU24_RS00290,,61695,0.0112788215142494,No COG annotation,#00bfbf,,hypothetical protein
