,name,x,y,cog,color,link,gene_product
meta,start,0.09695134533197594,,,,,
EQU24_RS00005,dnaA,0,0.001658912320926,"Replication, recombination and repair",#1e90ff,,chromosomal replication initiator protein DnaA
EQU24_RS00010,,1502,-0.0064649911017485,"Replication, recombination and repair",#1e90ff,,DNA polymerase III subunit beta
EQU24_RS00015,recF,3060,-0.0062788899244427,"Replication, recombination and repair",#1e90ff,,DNA replication/repair protein RecF
EQU24_RS00020,gyrB,4185,-0.0024810838527742,"Replication, recombination and repair",#1e90ff,,DNA topoisomerase (ATP-hydrolyzing) subunit B
EQU24_RS00025,,6825,-0.0054741721285467,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00030,,7098,0.0185815974112978,Function unknown,#0000ff,,DUF2283 domain-containing protein
EQU24_RS00035,,7350,0.0043611396872754,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00040,,7818,-0.0044180192831031,Cell wall/membrane/envelope biogenesis,#c71585,,TolC family protein
EQU24_RS00045,,9071,-0.0102947166983563,Cell wall/membrane/envelope biogenesis,#c71585,,efflux RND transporter periplasmic adaptor subunit
EQU24_RS00050,,10240,-0.0096735089400545,Inorganic ion transport and metabolism,#8b4513,,efflux RND transporter permease subunit
EQU24_RS00055,,13298,-0.0254322376211315,Function unknown,#0000ff,,DUF3240 domain-containing protein
EQU24_RS00060,,13842,0.004668419540956,Signal transduction mechanisms,#f4a460,,bifunctional diguanylate cyclase/phosphodiesterase
EQU24_RS00065,,17565,-0.001499987225111,Function unknown,#0000ff,,DUF839 domain-containing protein
EQU24_RS00070,tatA,19263,-0.017677505073829,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase TatA/TatE family subunit
EQU24_RS00075,tatB,19487,0.0598052070386392,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,,twin-arginine translocase subunit TatB
EQU24_RS00080,,20389,0.0182106617876295,"Post-translational modification, protein turnover, and chaperones",#add8e6,,hypothetical protein
EQU24_RS00085,,21633,0.0071797302724283,Cell wall/membrane/envelope biogenesis,#c71585,,prolipoprotein diacylglyceryl transferase
EQU24_RS00090,thyA,22412,-0.0003987119532057,Nucleotide transport and metabolism,#87ceeb,,thymidylate synthase
EQU24_RS00095,,23251,-0.0104725685988074,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00100,,23841,-0.0033948090952742,Function unknown,#0000ff,,YchJ family protein
EQU24_RS00105,crp,24340,-0.0004152375630948,Transcription,#000000,,cAMP-activated global transcriptional regulator CRP
EQU24_RS00110,,25137,-0.0122586481433444,"Post-translational modification, protein turnover, and chaperones",#add8e6,,OsmC family protein
EQU24_RS00115,speD,25560,-0.0005835785319763,Amino acid transport and metabolism,#ff0000,,adenosylmethionine decarboxylase
EQU24_RS00125,,29783,-6.956350172334944e-05,Function unknown,#0000ff,,autotransporter outer membrane beta-barrel domain-containing protein
EQU24_RS00130,,32310,0.0227440069034124,No COG annotation,#00bfbf,,hypothetical protein
EQU24_RS00135,,32679,-0.0026499984847861,Function unknown,#0000ff,,DUF2807 domain-containing protein
EQU24_RS00140,,33495,0.0146682271531756,Cell wall/membrane/envelope biogenesis,#c71585,,OmpA family protein
EQU24_RS00145,,34142,0.200061023182695,"Translation, ribosomal structure and biogenesis",#daa520,https://biocyc.org/gene?orgid=GCF_005931095&id=EQU24_RS00145,hypothetical protein
EQU24_RS00150,,34455,-0.0163311245491637,Cell wall/membrane/envelope biogenesis,#c71585,,DUF4384 domain-containing protein
